Study,SampleIdentifier,SiteCode,SiteCodeDM,Plot,Replicate,Layer,SamplingYear,Disturbance,DevStage,DevStageDM,StandAge2017,DisturbanceType,Latitude,Longitude,SiteName,SiteNameDM,pH,TOC_gkg,TN_gkg
Chronosequence,13H-20170705-H-1L,13H,14,s14,1,B,2017,Harvest,Establishment,R,13,,49.806792,-91.260369,13yrHarvest,13 Yr Harv.,5.35,460.49,9.94
Chronosequence,13H-20170705-H-2L,13H,14,s14,2,B,2017,Harvest,Establishment,R,13,,49.806792,-91.260369,13yrHarvest,13 Yr Harv.,5.35,460.49,9.94
Chronosequence,13H-20170705-H-3L,13H,14,s14,3,B,2017,Harvest,Establishment,R,13,,49.806792,-91.260369,13yrHarvest,13 Yr Harv.,5.35,460.49,9.94
Chronosequence,13H-20170705-H-1M,13H,14,s14,1,M,2017,Harvest,Establishment,R,13,,49.806792,-91.260369,13yrHarvest,13 Yr Harv.,5.55,13.39,0.6
Chronosequence,13H-20170705-H-2M,13H,14,s14,2,M,2017,Harvest,Establishment,R,13,,49.806792,-91.260369,13yrHarvest,13 Yr Harv.,5.55,13.39,0.6
Chronosequence,13H-20170705-H-3M,13H,14,s14,3,M,2017,Harvest,Establishment,R,13,,49.806792,-91.260369,13yrHarvest,13 Yr Harv.,5.55,13.39,0.6
Chronosequence,13H-20170705-H-1F,13H,14,s14,1,O,2017,Harvest,Establishment,R,13,,49.806792,-91.260369,13yrHarvest,13 Yr Harv.,5.04,382.94,12.26
Chronosequence,13H-20170705-H-2F,13H,14,s14,2,O,2017,Harvest,Establishment,R,13,,49.806792,-91.260369,13yrHarvest,13 Yr Harv.,5.04,382.94,12.26
Chronosequence,13H-20170705-H-3F,13H,14,s14,3,O,2017,Harvest,Establishment,R,13,,49.806792,-91.260369,13yrHarvest,13 Yr Harv.,5.04,382.94,12.26
Chronosequence,M15-20170705-H-1L,M15,15,s15,1,B,2017,Harvest,Establishment,R,15,,49.765515,-91.169442,Misery15,Misery15,4.88,476.77,9.76
Chronosequence,M15-20170705-H-2L,M15,15,s15,2,B,2017,Harvest,Establishment,R,15,,49.765515,-91.169442,Misery15,Misery15,4.88,476.77,9.76
Chronosequence,M15-20170705-H-3L,M15,15,s15,3,B,2017,Harvest,Establishment,R,15,,49.765515,-91.169442,Misery15,Misery15,4.88,476.77,9.76
Chronosequence,M15-20170705-H-1M,M15,15,s15,1,M,2017,Harvest,Establishment,R,15,,49.765515,-91.169442,Misery15,Misery15,5.06,14.45,0.58
Chronosequence,M15-20170705-H-2M,M15,15,s15,2,M,2017,Harvest,Establishment,R,15,,49.765515,-91.169442,Misery15,Misery15,5.06,14.45,0.58
Chronosequence,M15-20170705-H-3M,M15,15,s15,3,M,2017,Harvest,Establishment,R,15,,49.765515,-91.169442,Misery15,Misery15,5.06,14.45,0.58
Chronosequence,M15-20170705-H-1F,M15,15,s15,1,O,2017,Harvest,Establishment,R,15,,49.765515,-91.169442,Misery15,Misery15,4.48,499.26,12.51
Chronosequence,M15-20170705-H-2F,M15,15,s15,2,O,2017,Harvest,Establishment,R,15,,49.765515,-91.169442,Misery15,Misery15,4.48,499.26,12.51
Chronosequence,M15-20170705-H-3F,M15,15,s15,3,O,2017,Harvest,Establishment,R,15,,49.765515,-91.169442,Misery15,Misery15,4.48,499.26,12.51
Chronosequence,E22-20170705-H-1L,E22,16,s16,1,B,2017,Harvest,CrownClosure,R-CC,22,,49.859957,-91.381126,Elipse22,Elipse,5.27,480.31,11.8
Chronosequence,E22-20170705-H-2L,E22,16,s16,2,B,2017,Harvest,CrownClosure,R-CC,22,,49.859957,-91.381126,Elipse22,Elipse,5.27,480.31,11.8
Chronosequence,E22-20170705-H-3L,E22,16,s16,3,B,2017,Harvest,CrownClosure,R-CC,22,,49.859957,-91.381126,Elipse22,Elipse,5.27,480.31,11.8
Chronosequence,E22-20170705-H-1M,E22,16,s16,1,M,2017,Harvest,CrownClosure,R-CC,22,,49.859957,-91.381126,Elipse22,Elipse,5.55,11.45,0.51
Chronosequence,E22-20170705-H-2M,E22,16,s16,2,M,2017,Harvest,CrownClosure,R-CC,22,,49.859957,-91.381126,Elipse22,Elipse,5.55,11.45,0.51
Chronosequence,E22-20170705-H-3M,E22,16,s16,3,M,2017,Harvest,CrownClosure,R-CC,22,,49.859957,-91.381126,Elipse22,Elipse,5.55,11.45,0.51
Chronosequence,E22-20170705-H-1F,E22,16,s16,1,O,2017,Harvest,CrownClosure,R-CC,22,,49.859957,-91.381126,Elipse22,Elipse,5.12,480.7,15.69
Chronosequence,E22-20170705-H-2F,E22,16,s16,2,O,2017,Harvest,CrownClosure,R-CC,22,,49.859957,-91.381126,Elipse22,Elipse,5.12,480.7,15.69
Chronosequence,E22-20170705-H-3F,E22,16,s16,3,O,2017,Harvest,CrownClosure,R-CC,22,,49.859957,-91.381126,Elipse22,Elipse,5.12,480.7,15.69
Chronosequence,M20-20170705-H-1L,M20,17,s17,1,B,2017,Harvest,CrownClosure,CC,20,,49.758525,-91.173954,Misery20,Misery20,5.52,506.28,11.79
Chronosequence,M20-20170705-H-2L,M20,17,s17,2,B,2017,Harvest,CrownClosure,CC,20,,49.758525,-91.173954,Misery20,Misery20,5.52,506.28,11.79
Chronosequence,M20-20170705-H-3L,M20,17,s17,3,B,2017,Harvest,CrownClosure,CC,20,,49.758525,-91.173954,Misery20,Misery20,5.52,506.28,11.79
Chronosequence,M20-20170705-H-1M,M20,17,s17,1,M,2017,Harvest,CrownClosure,CC,20,,49.758525,-91.173954,Misery20,Misery20,5.72,15.1,0.81
Chronosequence,M20-20170705-H-2M,M20,17,s17,2,M,2017,Harvest,CrownClosure,CC,20,,49.758525,-91.173954,Misery20,Misery20,5.72,15.1,0.81
Chronosequence,M20-20170705-H-3M,M20,17,s17,3,M,2017,Harvest,CrownClosure,CC,20,,49.758525,-91.173954,Misery20,Misery20,5.72,15.1,0.81
Chronosequence,M20-20170705-H-1F,M20,17,s17,1,O,2017,Harvest,CrownClosure,CC,20,,49.758525,-91.173954,Misery20,Misery20,5.88,459.22,17.24
Chronosequence,M20-20170705-H-2F,M20,17,s17,2,O,2017,Harvest,CrownClosure,CC,20,,49.758525,-91.173954,Misery20,Misery20,5.88,459.22,17.24
Chronosequence,M20-20170705-H-3F,M20,17,s17,3,O,2017,Harvest,CrownClosure,CC,20,,49.758525,-91.173954,Misery20,Misery20,5.88,459.22,17.24
Chronosequence,WB-20170705-H-1L,WB,18,s18,1,B,2017,Harvest,CrownClosure,R-CC,25,,49.745922,-91.19053,WhiteBear,White Bear,5.47,510.48,12.71
Chronosequence,WB-20170705-H-2L,WB,18,s18,2,B,2017,Harvest,CrownClosure,R-CC,25,,49.745922,-91.19053,WhiteBear,White Bear,5.47,510.48,12.71
